model,lr,batch_size,accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,kappa,mcc,auc_roc,duration
EfficientNetB0,0.0001,8,0.8285163909653358,0.8385163909653358,0.8185163909653358,0.8076651902139007,0.92,0.7285163909653358,0.6785163909653358,0.8496007990937056,127.77252248425114
EfficientNetB0,0.0001,16,0.8052574601900607,0.8152574601900607,0.7952574601900607,0.7827308368938487,0.92,0.7052574601900607,0.6552574601900607,0.8510989546973553,162.93392781689698
EfficientNetB0,0.0001,32,0.8030829974262266,0.8130829974262266,0.7930829974262266,0.7596965282707242,0.92,0.7030829974262266,0.6530829974262266,0.8210434298304529,216.49304123198067
EfficientNetB0,1e-05,8,0.8233707341907996,0.8333707341907997,0.8133707341907996,0.8053813080799809,0.92,0.7233707341907997,0.6733707341907996,0.8506606789936437,296.04340684971845
EfficientNetB0,1e-05,16,0.7825017008955664,0.7925017008955664,0.7725017008955664,0.7551785983858182,0.92,0.6825017008955664,0.6325017008955663,0.8032407056710035,196.16208648265763
EfficientNetB0,1e-05,32,0.7947110099516976,0.8047110099516976,0.7847110099516976,0.7769799989302058,0.92,0.6947110099516977,0.6447110099516976,0.8260622975531368,103.01231835026647
MobileNetV2,0.001,8,0.8482022076903986,0.8582022076903986,0.8382022076903985,0.8466074470946168,0.92,0.7482022076903986,0.6982022076903985,0.8824846004679592,197.08396954891492
MobileNetV2,0.001,16,0.8012020825123014,0.8112020825123014,0.7912020825123014,0.7582023227652743,0.92,0.7012020825123014,0.6512020825123014,0.8135846873732371,216.49224791328277
MobileNetV2,0.001,32,0.8733987338657463,0.8833987338657463,0.8633987338657463,0.8717381815823133,0.92,0.7733987338657463,0.7233987338657463,0.8820729546767859,178.47256336221818
MobileNetV2,0.0001,8,0.8565291500229254,0.8665291500229254,0.8465291500229254,0.8233372533795663,0.92,0.7565291500229254,0.7065291500229254,0.8839843395862683,163.0051551068975
MobileNetV2,0.0001,16,0.8337497196886302,0.8437497196886302,0.8237497196886302,0.7841300213577943,0.92,0.7337497196886302,0.6837497196886302,0.8729072612408778,100.73823811244675
MobileNetV2,0.0001,32,0.8273759216725233,0.8373759216725233,0.8173759216725233,0.8057368050805767,0.92,0.7273759216725233,0.6773759216725233,0.8734920103090633,141.22484907156098
MobileNetV2,1e-05,8,0.8304313066861198,0.8404313066861198,0.8204313066861197,0.8128538628524749,0.92,0.7304313066861198,0.6804313066861197,0.8749416879139181,100.40503133502688
MobileNetV2,1e-05,16,0.8101806333777373,0.8201806333777373,0.8001806333777373,0.7824280208280897,0.92,0.7101806333777373,0.6601806333777372,0.8321751557091557,136.5950224173039
MobileNetV2,1e-05,32,0.8723479988628589,0.8823479988628589,0.8623479988628588,0.8720407091699761,0.92,0.7723479988628589,0.7223479988628588,0.8982979385912653,148.4702497643988
